Date,1Y Swap,2Y Swap,3Y Swap,4Y Swap,5Y Swap,7Y Swap,10Y Swap,30Y Swap
10/5/1998,4.85,4.64,4.685,4.795,4.875,4.98,5.1,5.605
10/6/1998,4.785,4.675,4.735,4.82,4.905,5,5.125,5.59
10/7/1998,4.895,4.765,4.835,4.935,5.035,5.155,5.29,5.71
10/8/1998,4.845,4.82,4.93,5.065,5.165,5.295,5.48,5.87
10/9/1998,4.82,4.92,5.07,5.225,5.35,5.51,5.7,5.97
10/12/1998,4.88,4.91,5.065,5.225,5.35,5.51,5.7,5.98
10/13/1998,4.88,4.815,4.985,5.08,5.265,5.43,5.66,5.975
10/14/1998,4.82,4.82,4.955,5.05,5.21,5.365,5.55,5.945
10/15/1998,4.83,4.71,4.86,4.92,5.065,5.21,5.43,5.83
10/16/1998,4.61,4.56,4.665,4.815,4.945,5.115,5.335,5.82
10/19/1998,4.59,4.55,4.675,4.805,4.94,5.12,5.33,5.815
10/20/1998,4.6,4.61,4.725,4.86,4.995,5.18,5.405,5.865
10/21/1998,4.58,4.645,4.78,4.915,5.015,5.19,5.41,5.865
10/22/1998,4.68,4.665,4.805,4.95,5.065,5.225,5.445,5.935
10/23/1998,4.63,4.695,4.855,5,5.135,5.31,5.55,5.975
10/26/1998,4.68,4.67,4.83,4.985,5.095,5.27,5.485,5.915
10/27/1998,4.72,4.62,4.735,4.875,5.02,5.19,5.42,5.865
10/28/1998,4.66,4.595,4.715,4.86,4.97,5.15,5.38,5.895
10/29/1998,4.655,4.585,4.705,4.82,4.92,5.09,5.32,5.82
10/30/1998,4.67,4.7,4.82,4.91,5.04,5.2,5.37,5.88
11/2/1998,4.65,4.84,4.96,5.07,5.175,5.35,5.565,5.98
11/3/1998,4.65,4.8,4.925,5.03,5.14,5.315,5.52,5.94
11/4/1998,4.85,4.96,5.095,5.17,5.22,5.455,5.625,6.01
11/5/1998,4.75,5.03,5.12,5.21,5.29,5.445,5.635,6.04
11/6/1998,5.015,5.115,5.195,5.265,5.32,5.51,5.675,6.085
11/9/1998,5.085,5.085,5.165,5.215,5.255,5.43,5.58,5.97
11/10/1998,5.04,5.03,5.11,5.175,5.22,5.385,5.54,5.965
11/11/1998,5.34,5.03,5.105,5.175,5.225,5.35,5.535,5.96
11/12/1998,5.035,5.02,5.1,5.15,5.21,5.37,5.51,5.925
11/13/1998,5.01,5.05,5.12,5.185,5.245,5.4,5.55,5.92
11/16/1998,5.23,5.1,5.185,5.26,5.31,5.48,5.625,5.97
