,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,1558530D,1649858D,1704453D,1801229D,2269312Q,228510Q,228510Q,1858968D,1858968D,1858968D,2307532Q,2968900Q,2987536Q,9990302D,ADBE,AEE,AGN,AIV,ALL,AKAM,AME,AMT,AN,AON,APC,APD,ARE
46,1567Q,1680Q,1715651D,1825471D,2284Q,236555Q,2307532Q,228510Q,2307532Q,2307532Q,2641504Q,2987536Q,3022239Q,9995522D,ADI,AEP,AIG,AIZ,ALXN,ALL,AMG,AMZN,ANDV,AOS,APD,APH,ATO
47,1581Q,1684442D,1727044D,183291Q,228510Q,253647Q,253647Q,2307532Q,2641504Q,2641504Q,2942331Q,2999130Q,3286728Q,A,ADM,AES,AIV,AKAM,AMAT,ALLE,AMGN,AN,ANTM,APC,APH,APTV,ATVI
48,1618Q,1697067D,1752754D,1837572D,2288005Q,2641504Q,2641504Q,2641504Q,2676187Q,2676187Q,2968900Q,3022239Q,3362726Q,AA,ADP,AET,AIZ,ALL,AMD,ALXN,AMP,ANDV,AON,APD,APTV,ARE,AVB
49,162007Q,1704453D,1778808D,2009Q,236555Q,2676187Q,2676187Q,2676187Q,2727195Q,2942331Q,2987536Q,3026360Q,3393199Q,AAPL,ADSK,AFL,AKAM,AMAT,AMGN,AMAT,AMT,ANTM,APC,APH,ARE,ATO,AVGO
50,1621582D,1715651D,1789494D,204923Q,244630Q,2727195Q,2727195Q,2727195Q,2942331Q,2968900Q,2999130Q,3080867Q,3403545Q,ABC,AEE,AGN,AKS,AMD,AMP,AME,AMZN,AON,APD,APTV,ATVI,ATVI,AVY
51,1624Q,1727044D,1799685D,2106Q,2500Q,2731112Q,2942331Q,2942331Q,2968900Q,2987536Q,3022239Q,3133754Q,3414924Q,ABKFQ,AEP,AIG,ALL,AMGN,AMT,AMGN,AN,APC,APH,ARE,AVB,AVB,AWK
52,1627457D,1752754D,1801229D,2196Q,253647Q,285939Q,2968900Q,2968900Q,2987536Q,2999130Q,3026360Q,3286728Q,3423152Q,ABT,AES,AIV,AMAT,AMP,AMZN,AMP,ANDV,APD,APTV,ATVI,AVGO,AVGO,AXP
53,1649858D,1789494D,1802Q,2200Q,2641504Q,291784Q,297504Q,297504Q,2999130Q,3022239Q,3080867Q,3393199Q,3517233Q,ACAS,AET,AIZ,AMD,AMT,AN,AMT,ANTM,APH,ATVI,AVB,AVY,AVY,AZO
54,1680Q,1789530D,1825471D,2206Q,2691Q,2942331Q,2987536Q,2987536Q,3022239Q,3026360Q,3133754Q,3403545Q,3692470Q,ADBE,AFL,AKAM,AMGN,AMZN,ANDV,AMZN,AON,APTV,AVB,AVGO,AWK,AWK,BA
55,1684442D,1799685D,183291Q,2218Q,2727195Q,2953349Q,2999130Q,2999130Q,3026360Q,3029830Q,3153670Q,3414924Q,4621824Q,ADI,AGN,AKS,AMP,AN,ANF,AN,APC,ARG,AVGO,AVY,AXP,AXP,BAC
56,1697067D,1801229D,1837572D,2223Q,2731112Q,2968900Q,3022239Q,3022239Q,3029830Q,3080867Q,3286728Q,3423152Q,5656565D,ADM,AIG,ALL,AMT,ANDV,ANTM,ANDV,APD,ATVI,AVY,AWK,AZO,AZO,BAX
57,1704453D,1802Q,1897359D,222435Q,2745Q,297504Q,3026360Q,3026360Q,3080867Q,3133754Q,3393199Q,3517233Q,8206908Q,ADP,AIV,AMAT,AMZN,ANF,AON,ANTM,APH,AVB,AWK,AXP,BA,BA,BBWI
58,1712414D,1824174D,1958Q,2251Q,2755Q,2999130Q,3029830Q,3029830Q,3133754Q,3153670Q,3403545Q,3605818Q,8277831Q,ADSK,AIZ,AMD,AN,ANRZQ,APC,AON,APTV,AVGO,AXP,AYI,BAC,BAC,BBY
59,1715651D,1825471D,1974Q,2269312Q,2770014Q,300583Q,3075558Q,3080867Q,3153670Q,3286728Q,3414924Q,3692470Q,8394653Q,AEE,AKAM,AMGN,ANDV,ANTM,APD,APC,ARG,AVY,AYI,AZO,BAX,BAX,BDX
60,1727044D,183291Q,2009Q,2282655Q,285939Q,301710Q,3080867Q,3133754Q,3286728Q,3393199Q,3423152Q,4621824Q,9876544D,AEP,AKS,AMP,ANF,AON,APH,APD,ATI,AXP,AZO,BA,BBWI,BBWI,BEN
