,leg_1,leg_2,coint_t,pvalue,hedge_ratio,hurst_exponent,half_life,crossovers
184,KLAC,LDOS,-3.4962998987169915,0.008082630541872096,0.4394284781362818,0.44039935392044866,2.1802891705130922,False
185,AKAM,QRVO,-3.494391981953722,0.008132293342214894,1.1832471265455458,0.4391916971051094,5.145733096837401,False
186,ATO,SRE,-3.4925588222578274,0.008180268481685678,1.0626580061779696,0.2959437332807252,1.0995468628581506,False
187,AKAM,LDOS,-3.4902524129053116,0.008240990243953998,0.9902388184298547,0.3839456597994211,11.14419609215223,False
188,RF,ZION,-3.4839572056519925,0.008408793633701468,2.924819229289053,0.3987402664768201,167.77430012042902,True
189,CFG,COF,-3.482954707970712,0.008435797416270914,1.7844704644106328,0.31942950074183196,1.1579335560030937,True
190,ACN,ORCL,-3.480425609029644,0.008504268906685895,0.1572301437828171,0.3130918487236977,1.0981761138896948,True
191,DISCK,NWSA,-3.480327615408157,0.008506931948383638,-0.05409015244300601,0.4570482080429121,3.5731901826890864,True
192,O,PEAK,-3.4774739289001486,0.008584811895682148,0.36320501346632306,0.3443689153505599,5.942263723091724,False
193,CMG,GPS,-3.47717660921518,0.008592962749441315,-0.01908267126630993,0.4315975515627421,1.4738138587187795,True
194,RMD,STE,-3.4767241296570472,0.008605380555502565,0.856187477925319,0.30414305789375173,2.2578981313313955,False
195,STE,ZTS,-3.475370288900786,0.008642631486109671,1.0107676276837279,0.3197234359140463,1.3971906174713666,True
196,VLO,WMB,-3.4749836842430133,0.008653295445084017,0.08679263311833749,0.4950370833749762,2.8989051557646053,True
197,J,UNP,-3.4738230335391003,0.008685381379199272,2.2437082249317952,0.39336439046750465,2.2757889970916154,False
198,AMGN,LH,-3.471797181962166,0.008741641483541864,0.7117420321705012,0.36784489005771,2.2649408310218844,False
199,NOC,PH,-3.470842037309556,0.008768280133403413,0.512918077959571,0.44253997994564526,3.0168986838602634,True
200,CHD,MKC,-3.468363268714394,0.008837752162215174,2.4271874826350195,0.35633174086131136,1.1083483549993869,True
201,L,SYF,-3.466018607088241,0.0089039195164374,0.7769773741039072,0.4283779189863046,9.575705486280182,False
202,J,PAYX,-3.46475425442338,0.008939784141612233,0.6538120452350857,0.3745257714457421,1.557022768029876,True
203,ALLE,LMT,-3.4589930177237944,0.009104852408913976,3.6561804893639307,0.38940746174588237,15.934563966383374,False
204,HPE,JNPR,-3.4567913088976256,0.009168652616162027,0.7180285161202004,0.4484306461606804,2.813229825394375,False
205,FLT,MSI,-3.453589946318624,0.009262135028348235,0.6479939860918571,0.39053809218287144,1.5963965562605105,True
206,FISV,MSI,-3.4532507075749965,0.009272090932621737,1.6953945732796354,0.33302871784686183,1.968258848289225,False
207,AKAM,CTXS,-3.452622678827254,0.009290547481712838,1.4294378661754434,0.44012064674978874,6.690855157234853,True
208,HBI,SEE,-3.452262260480901,0.009301154331766,0.9776520027747917,0.36730812663177326,1.586912309007896,False
209,IP,WRK,-3.4522507549737225,0.009301493109028454,1.5343627196173493,0.3944464761494324,1.1758482473357563,True
210,BLL,F,-3.4520870711301423,0.009306313942700498,-0.12421009277221119,0.4298941216264524,2.6378878557414964,False
211,MCO,MMC,-3.4518096514956893,0.009314489644678738,0.2796615304729642,0.37267827844036316,1.1067673224208194,False
212,ALL,JPM,-3.451679132637465,0.009318338328160078,1.4146065315844814,0.386525817923716,1.1581856297966795,False
213,ANSS,QRVO,-3.450334542180364,0.009358070005683674,0.2824120178689087,0.3601925266761558,1.2566751808079522,False
214,AMD,PAYC,-3.444561064069179,0.009530401418081298,5.096356843718366,0.34667683133272886,10.74418651232328,False
215,NSC,RSG,-3.4436782132724075,0.009557002328761083,0.35109782500329006,0.3699534667599075,1.5511600814382842,False
216,FTI,WMB,-3.442223383543185,0.009600982328657326,0.5357821032340528,0.4922634412642603,3.7458512297188853,False
217,AMT,PLD,-3.441316531122663,0.009628488313961622,0.3191287661054808,0.35911793892168276,2.052385743136714,True
218,FAST,KSU,-3.439391227710063,0.009687119036024684,4.064436858537349,0.4249468578530498,11.432805609603474,True
219,DISCA,NWSA,-3.4380401361664403,0.009728453905810777,-0.04437234408948826,0.4580329380163566,3.6685797558939433,True
220,CDNS,SNPS,-3.437534286861392,0.00974397023714709,1.8505661073354205,0.36189408702715575,4.066255451626071,False
221,COO,SYK,-3.4370896474324457,0.009757627299415287,0.6042512978280582,0.41744924611099404,2.168596571429362,True
222,DOV,TT,-3.436882499474495,0.009763995674011872,1.026697599220914,0.39623400042363044,7.861225572187459,False
223,CCI,DLR,-3.4333934234220784,0.009871820676379844,0.6937995481347192,0.3735565076259577,1.2190219088914827,True
224,CTAS,DOV,-3.4306082084361367,0.00995865647090243,0.2775558052279141,0.40533914623350104,1.1903770662885995,True
